idU       idF       date       Followers
1	1	2014-01-02	TRUE
2	2	2014-02-02	FALSE
3	3	2014-12-03	FALSE
4	4	2014-02-02	FALSE
5	5	2014-02-17	FALSE
6	6	2014-07-08	FALSE
7	7	2014-04-01	FALSE
8	8	2014-11-12	FALSE
9	9	2014-04-19	FALSE
10	10	2014-11-28	FALSE
11	11	2014-04-01	FALSE
12	12	2014-07-29	FALSE
13	13	2014-09-30	FALSE
14	14	2014-03-22	FALSE
15	15	2014-08-09	FALSE
16	16	2014-12-30	FALSE
17	17	2014-04-13	FALSE
18	18	2014-07-20	FALSE
19	19	2014-11-08	FALSE
20	20	2014-08-01	FALSE
21	21	2014-02-05	FALSE
22	22	2014-02-23	FALSE
23	23	2014-06-21	FALSE
24	24	2014-04-23	FALSE
25	25	2014-08-06	FALSE
26	26	2014-03-08	FALSE
27	27	2014-05-31	FALSE
28	28	2014-02-01	FALSE
29	29	2014-12-01	FALSE
30	30	2014-05-11	FALSE
31	31	2014-09-04	FALSE
32	32	2014-02-16	FALSE
33	33	2014-01-03	FALSE
34	34	2014-03-22	FALSE
35	35	2014-03-12	FALSE
36	36	2014-04-04	FALSE
37	37	2014-11-01	FALSE
38	38	2014-07-02	FALSE
39	39	2014-10-24	FALSE
40	40	2014-08-19	FALSE
41	41	2014-02-13	FALSE
42	42	2014-10-19	FALSE
43	43	2014-04-01	FALSE
44	44	2014-01-29	FALSE
45	45	2014-02-02	FALSE
46	46	2014-08-27	FALSE
47	47	2014-09-29	FALSE
48	48	2014-08-21	FALSE
49	49	2014-03-13	FALSE
50	50	2014-07-18	FALSE
51	51	2014-05-02	FALSE
52	52	2014-12-26	FALSE
53	53	2014-09-13	FALSE
54	54	2014-05-07	FALSE
55	55	2014-01-31	FALSE
56	56	2014-04-30	FALSE
57	57	2014-12-15	FALSE
58	58	2014-03-27	FALSE
59	59	2014-03-02	FALSE
60	60	2014-07-21	FALSE
61	61	2014-05-10	FALSE
62	62	2014-01-30	FALSE
63	63	2014-07-30	FALSE
64	64	2014-05-16	FALSE
65	65	2014-03-08	FALSE
66	66	2014-03-15	FALSE
67	67	2014-03-14	FALSE
68	68	2014-06-29	FALSE
69	69	2014-05-12	FALSE
70	70	2014-01-02	FALSE
71	71	2014-08-06	FALSE
72	72	2014-02-28	FALSE
73	73	2014-09-23	FALSE
74	74	2014-11-03	FALSE
75	75	2014-02-10	FALSE
76	76	2014-09-13	FALSE
77	77	2014-06-06	FALSE
78	78	2014-07-23	FALSE
79	79	2014-11-02	FALSE
80	80	2014-07-23	FALSE
81	81	2014-05-26	FALSE
82	82	2014-06-03	FALSE
83	83	2014-07-25	FALSE
84	84	2014-03-24	FALSE
85	85	2014-01-24	FALSE
86	86	2014-12-21	FALSE
87	87	2014-02-01	FALSE
88	88	2014-12-09	FALSE
